,experiment_id,number,type,calendar_time,cum_fec,Laboratory identifier,Internal cell serial,Testpoint,Measurement start date,Measurement device used,Test channel,Climate chamber used,Climate chamber temperature setpoint,Position within climate chamber,Q_mean,Q_charge,Q_discharge,t_charge,t_discharge
0,TP_k01_01_1,1,ET_T45,7,0.0,SIE,S001,k01,11.09.2021,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,45°C,left (Position 1 of 6),4.992517503216748,4.988822261422103,4.996212745011391,509570.287,519010.845
1,TP_k01_01_1,1,ET_T23,14,0.0,SIE,S001,k01,15.09.2021,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,23°C,left (Position 1 of 6),4.903352334790302,4.898369235936512,4.908335433644091,772479.197,782418.307
2,TP_k01_01_1,1,ET_T10,0,0.0,SIE,S001,k01,08.09.2021,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,10°C,left (Position 1 of 6),4.824176860399433,4.826019174806421,4.822334545992444,88611.889,99050.027
3,TP_k01_01_1,2,CU,47,0.0,SIE,S001,k01,26.10.2021,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,23°C,left (Position 1 of 6),4.937685077551938,4.943190949595534,4.932179205508343,13325.502,23365.954
4,TP_k01_01_1,3,exCU,82,0.0,SIE,S001,k01,30.11.2021,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,23°C,left (Position 1 of 6),4.916338213905013,4.914191283735199,4.918485144074828,2452.533,12454.154
5,TP_k01_01_1,4,CU,131,0.0,SIE,S001,k01,18.01.2022,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,23°C,left (Position 1 of 6),4.911691126263757,4.912534705257037,4.910847547270477,12953.484,22946.814
6,TP_k01_01_1,5,CU,187,0.0,SIE,S001,k01,15.03.2022,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,23°C,left (Position 1 of 6),4.908074196693927,4.907082870353639,4.909065523034215,12978.795,22974.809
7,TP_k01_01_1,6,CU,243,0.0,SIE,S001,k01,10.05.2022,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,23°C,left (Position 1 of 6),4.910515619392121,4.919362173637823,4.901669065146419,12989.286,23002.521
8,TP_k01_01_1,7,exCU,269,0.0,SIE,S001,k01,05.06.2022,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,23°C,left (Position 1 of 6),4.907722805940413,4.918230047997331,4.897215563883495,5680.009,15727.877
9,TP_k01_01_1,8,CU,355,0.0,SIE,S001,k01,30.08.2022,BaSyTec X50.X.13.13.0864,CH01,CTS C-70/200 SN: 092061,23°C,left (Position 1 of 6),4.905705940560439,4.917025913346475,4.894385967774403,13008.176,23029.812
