name,value
"p[ALBANY_NY,1]",-0.0
"p[GREENFIELD_MA,1]",-0.0
"p[HOLYOKE_MA,1]",-200.46110000000002
"p[HARTFORD_CT,1]",-298.03000000000003
"p[PROSPECT_CT,1]",-466.1346568527499
"p[NEWHAVEN_CT,1]",-0.0
"p[ANSONIA_CT,1]",-139.35882800000002
"p[SOUTHBURY_CT,1]",-311.14332
"p[DANBURY_CT,1]",-0.0
"p[GROTON_CT,1]",-0.0
"p[NEWLONDON_CT,1]",-0.0
"p[NEWLONDON2_CT,1]",-4.4704500000000005
"p[GROTON2_CT,1]",-0.0
"p[MARLBOROUGH_CT,1]",-0.0
"p[PROVIDENCE_RI,1]",-194.3712
"p[BOSTON_MA,1]",-393.3321834557928
"p[WORCESTER_MA,1]",-0.0
"p[BRIMFIELD_MA,1]",-98.36290000000001
"p[FALLRIVER_MA,1]",-0.0
"p[FALLRIVER2_MA,1]",-390.9614
"p[BROCKTON_MA,1]",-106.83297363043758
"p[MIDDLEBOROUGH_MA,1]",-0.0
"p[HYANNIS_MA,1]",-170.88997500000002
"p[QUINCY_MA,1]",-192.11893000000003
"p[BRATTLEBORO_VT,1]",-145.44992
"p[NASHUA_NH,1]",-83.76279
"p[LITTLETON_MA,1]",-174.93655
"p[PORTLAND_ME,1]",-142.09879999999998
"p[AUGUSTA_ME,1]",-148.36301420294114
"p[TURNERSFALLS_MA,1]",699.9999999999997
"p[NEWHAVEN2_CT,1]",557.7740972708497
"p[MYSTIC_CT,1]",-0.0
"p[FALLRIVER4_MA,1]",627.1019600000017
"p[FALLRIVER3_MA,1]",463.8594399999988
"p[MIDDLEBOROUGH2_MA,1]",646.5476538710716
"p[HYANNIS2_MA,1]",699.9999999999998
"p[BRATTLEBORO2_VT,1]",-0.0
"p[AUGUSTA2_ME,1]",700.0000000000009
"p[KINGSTON_NY,1]",-734.20416
"p[ALBANY_NY,2]",-0.0
"p[GREENFIELD_MA,2]",-0.0
"p[HOLYOKE_MA,2]",-188.05122
"p[HARTFORD_CT,2]",-277.265
"p[PROSPECT_CT,2]",-580.830362287744
"p[NEWHAVEN_CT,2]",-0.0
